id;subscription_name;subscription_amount;tax_amount;total_amount;subscription_start_date;subscription_expiry_date;additional_comments;notification_before_expiry;notification_mute_flag;notification_to;notification_cc;notification_bcc
1;nor forenenst;10317.01;1397.8;3512.11;2024-05-21T23:03:43;2024-05-21T09:53:53;workshop intrepid after;10902;false;mean bah;than reluctantly betoken;to assess drat
2;exemplary separately;14528.21;15553.66;1879.86;2024-05-21T22:51:24;2024-05-21T20:32:09;beneath;28602;true;ouch;ponce distance;treasure lest worst
3;generously;25683.72;6370.56;14640.44;2024-05-22T02:36:05;2024-05-21T11:04:15;applaud phew longitude;21759;true;as violently diving;inside;normal determined unlace
4;boo;7381.83;28781.41;7389.28;2024-05-22T07:19:22;2024-05-21T10:41:27;station fatally;10685;true;nor;phew sensor;excitedly mould
5;important;32363.04;5810.24;7491.49;2024-05-22T03:14:09;2024-05-22T06:16:55;excepting chide;6452;true;vivaciously;huzzah excluding;yippee
6;sag wherever;31355.35;20665.11;29727.89;2024-05-22T04:18:18;2024-05-21T21:37:00;blank woot;8604;false;rabbit;interview heating perfume;first
7;heal insight;15010.82;12329.88;11103.78;2024-05-22T00:39:23;2024-05-21T12:32:34;yet clear;29203;true;fear;shave;phew amid
8;waterskiing;4420.39;2552.8;12451.13;2024-05-21T17:34:54;2024-05-22T00:17:46;mask reconnect;14059;true;along ouch violently;scold seat committee;before barring trifling
9;whoever ill-fated blah;18151.54;3779.74;19436.85;2024-05-21T09:34:55;2024-05-22T04:54:44;although chicory near;24943;false;trepan;consequently than;geez seizure vicious
10;to wherever;10734.81;2500.17;15220.66;2024-05-21T12:12:46;2024-05-21T16:06:50;clink stoke;12094;false;thunderbolt;when;against anxiously
